CouncilDistrict,OffenseCategory,ReportMonthYear,CrimeCount
1,Counterfeiting/Forgery,August 2015,24
2,Robbery,July 2015,16
2,Embezzlement,June 2015,3
NA,Drug/Narcotic Offenses,February 2015,28
4,Embezzlement,May 2015,1
4,Kidnapping/Abduction,May 2015,1
4,Extortion/Blackmail,August 2015,1
NA,Burglary,September 2015,1
2,Arson,July 2015,6
1,Robbery,June 2015,14
3,Weapon Law Violations,February 2015,10
3,Counterfeiting/Forgery,April 2015,5
1,Stolen Property Offenses,December 2015,7
2,Animal Cruelty Offenses,August 2015,1
4,Embezzlement,November 2015,2
4,Embezzlement,December 2015,1
2,Counterfeiting/Forgery,June 2015,8
2,Weapon Law Violations,June 2015,16
2,Prostitution Offenses,August 2015,2
1,Counterfeiting/Forgery,January 2015,47
2,Embezzlement,January 2015,5
2,Drug/Narcotic Offenses,September 2015,16
3,Robbery,November 2015,13
2,Stolen Property Offenses,May 2015,1
NA,Embezzlement,April 2015,1
4,Kidnapping/Abduction,July 2015,1
3,Arson,November 2015,6
3,Prostitution Offenses,November 2015,1
2,Animal Cruelty Offenses,May 2015,2
3,Counterfeiting/Forgery,July 2015,9
4,Embezzlement,July 2015,1
4,Weapon Law Violations,February 2015,5
3,Animal Cruelty Offenses,June 2015,1
1,Arson,August 2015,4
2,Homicide Offenses,July 2015,2
2,Embezzlement,October 2015,3
1,Stolen Property Offenses,September 2015,9
2,Arson,November 2015,3
4,Stolen Property Offenses,September 2015,5
3,Arson,May 2015,7
3,Embezzlement,February 2015,1
4,Arson,June 2015,3
3,Prostitution Offenses,September 2015,1
3,Animal Cruelty Offenses,December 2015,1
1,Stolen Property Offenses,January 2015,7
2,Arson,June 2015,3
2,Arson,December 2015,2
NA,Fraud Offenses,April 2015,150
3,Embezzlement,November 2015,1
1,Pornography/Obscene Material,July 2015,1
3,Arson,December 2015,2
1,Embezzlement,August 2015,3
NA,Pornography/Obscene Material,August 2015,1
3,Embezzlement,July 2015,2
1,Animal Cruelty Offenses,July 2015,2
3,Counterfeiting/Forgery,September 2015,13
2,Embezzlement,March 2015,3
3,Prostitution Offenses,April 2015,8
3,Arson,August 2015,6
1,Weapon Law Violations,May 2015,15
3,Arson,October 2015,2
3,Arson,April 2015,3
4,Animal Cruelty Offenses,May 2015,1
1,Pornography/Obscene Material,June 2015,1
2,Animal Cruelty Offenses,October 2015,1
3,Stolen Property Offenses,December 2015,1
2,Embezzlement,April 2015,3
2,Homicide Offenses,November 2015,3
3,Stolen Property Offenses,April 2015,1
