timestamp,currentCourse,statsBefore,classStanding,numCourses,major,residentialCollege,GPA,gender,hoursStudying,birthMonth,age,height,shoeSize,weight,calories,hoursExercise,sleepTime,sleepDuration,socialMedia,smartPhones,baseball,football,basketball,hockey,politics,religous,Kinsey,happyCampus,happyCity,anxiousCourse,highSchool,prepared,drugUse,firstGeneration,languages,safety,makingFriends,campusTeam,officeHours,studyGroups,retirement,happiness,intelligence,attractiveness,favColor,favNumber,showers,brushing,flossing,washHair,finAidInfluence,futureCareer,numSiblings,favMovie,loneliness,tidyness,highSchoolGPA,SAT,activeCampus,numFriends,studyMusic,familyInfluence,campusLiving,jobBool,campusGroups,attendance,pancakesWaffles,coffeeTea,dogsCats,oceanSnow,pineapplePizza,campusAcceptance,hoursSocialMedia,continents,superhero,supervillain,season,handedness,safety2,laundry,favClass,favProfessor,anxiousSurvey
2024-09-04 19:57:36 UTC,SML 201,Yes: AP Statistics,Junior,19,Computer Science,Butler,3.4,Female,30,November,20,62,7.5,120,1500,0,12 midnight,8,"Instagram,LinkedIn,Pinterest,Twitter (X)",iPhone,"New York Mets,New York Yankees","Green Bay Packers,New York Giants,New York Jets","Brooklyn Nets,Los Angeles Lakers,Miami Heat,New York Knicks",New Jersey Devils,25,80,0,80,80,10,public school,100,No,No,1.3,90,80,No,80,80,Yes,80,30,50,yellow,7,7,14,7,1,30,60,2,Hidden Figures,0,80,4,1550,40,20,Yes,30,Yes,Yes,Yes,90,Pancakes,tea,Dogs,snow,tolerable,80,0.5,1,Spiderman,Joker,Winter,right-handed,90,4,The History of Beauty Pageants,Laurel Schwulst,95
2024-09-04 02:49:29 UTC,SML 201,No,Sophomore,8,Computer Science,Butler,3.587,Male,20,January,19,69,8,125,1900,4,12 midnight,8,"Instagram,LinkedIn",iPhone,"Atlanta Braves,New York Yankees,Pittsburgh Pirates","Pittsburgh Steelers,San Francisco 49ers","Los Angeles Lakers,New York Knicks",Pittsburgh Penguins,67,90,0,88,88,42,public school,80,Yes,No,1.8,98,94,Yes: intramural team,97,43,Yes,89,83,78,Blue,25,14,14,3,4,96,89,1,La La Land,26,84,4,1550,88,74,Yes,22,Yes,Yes,Yes,94,Waffles,coffee,Dogs,ocean,tolerable,86,2,2,Iron Man,Thanos,Winter,right-handed,96,12,COS126,David Stirk,94
2024-09-04 22:40:44 UTC,SML 201,Yes: a statistics course at another college,Sophomore,9,Economics,New College West,3.53,Male,25,May,19,67,11,153,2000,3,1 AM,8,"Instagram,Twitter (X)",iPhone,"Colorado Rockies,Miami Marlins","Baltimore Ravens,Chicago Bears,Miami Dolphins",Miami Heat,New York Rangers,40,75,0,85,65,0,private school,70,No,No,2,90,60,No,80,83,No,87,84,74,Blue,64,14,14,0,3,60,85,1,The Shawshank Redemption,72,63,4,1540,40,20,Yes,50,Yes,No,Yes,95,Pancakes,(neither),Cats,snow,No!,85,4,1,Spider-Man,Homelander (The Boys),Summer,right-handed,90,4,PHI 301,Cesar Romero Fernandez,98
2024-09-04 23:09:16 UTC,SML 201,Yes: AP Statistics,Sophomore,8,Economics,Yeh College,NA,Female,45,August,20,63,5,100,2000,6,1 AM,7,"Instagram,LinkedIn,Pinterest",iPhone,Los Angeles Dodgers,NA,Boston Celtics,NA,NA,50,0,45,40,50,public school,50,No,No,2.4,80,70,No,38,50,No,80,57,70,green,12,7,14,7,7,70,60,1,despicable me,9,89,4,1570,70,20,Yes,45,Yes,Yes,Yes,80,Waffles,tea,Cats,snow,Yes!,70,3,2,iron man,NA,Winter,right-handed,70,3,FRS 174,NA,80
2024-09-04 21:19:14 UTC,SML 201,Yes: AP Statistics,Senior,26,Computer Science,New College West,3.85,Female,25,December,20,64,6.5,145,1600,2,1 AM,7.5,"Instagram,LinkedIn",iPhone,NA,NA,NA,NA,20,0,0,80,70,10,public school,50,No,No,2.6,90,50,No,40,80,No,85,80,50,green,9,7,14,5,7,70,70,0,Farewell My Concubine,50,40,4,1590,20,20,Yes,80,Yes,No,Yes,90,Waffles,tea,Dogs,snow,tolerable,80,15,3,Deadpool,The Joker,Winter,left-handed,90,4,FRE 101,James Raymond Vreeland,90
2024-09-03 03:17:51 UTC,SML 201,Yes: a (non-AP) Statistics course in high school,Senior,37,Molecular Biology,Forbes,NA,Male,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,public school,NA,No,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Blue,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,100,Pancakes,tea,Dogs,ocean,tolerable,NA,NA,1,NA,NA,Winter,right-handed,NA,NA,NA,NA,NA
2024-09-05 14:38:23 UTC,SML 201,Yes: AP Statistics,Sophomore,8,Neuroscience,Mathey,4.65,Female,38,October,19,70,8,121,2000,7,1 AM,7.5,"Instagram,Pinterest",iPhone,St. Louis Cardinals,Tennessee Titans,Boston Celtics,Toronto Maple Leafs,10,5,1,80,50,40,public school,50,Yes,No,2,100,90,Yes: intramural team,50,50,No,80,70,30,Coral,2,4,14,5,2,50,60,2,Interstellar,40,40,4,1550,30,40,Yes,15,Yes,No,Yes,90,Waffles,coffee,Dogs,ocean,tolerable,50,1.5,2,Spiderman,Idk,Fall,right-handed,95,4,PSY254,Prof. Sorenson,100
2024-09-02 16:25:53 UTC,SML 201,Yes: AP Statistics,Sophomore,10,Operations Research and Financial Engineering,Mathey,3.36,Female,18,May,19,64,8.5,125,1800,6,12 midnight,5,Instagram,iPhone,NA,NA,NA,NA,25,0,0,85,85,56,public school,68,No,No,1.7,62,74,No,84,87,No,60,50,50,yellow,14,7,14,7,3.5,80,0,5,Everything Everywhere All At Once,50,70,4,1540,30,5,Yes,0,Yes,No,Yes,80,Waffles,tea,Cats,snow,Yes!,73,3,2,Doctor Strange,Megamind,Fall,left-handed,62,6,FRS 114,Alexander Davis,100
2024-09-02 19:26:59 UTC,SML 201,Yes: AP Statistics,Sophomore,12,Computer Science,New College West,3.68,Male,15,April,19,68,10.5,124,NA,1,12 midnight,7,"Instagram,LinkedIn",iPhone,NA,NA,NA,NA,27,35,0,70,60,75,public school,20,No,Yes,3.8,90,30,No,80,50,No,12,70,65,Cyan,117,7,10,0,3,100,50,1,NA,80,80,3.97,1590,70,10,Yes,0,Yes,Yes,Yes,90,Pancakes,tea,Cats,snow,No!,60,4,4,The Flash,Darth Vader,Winter,right-handed,90,4,FRS 172,David Villalobos,90
2024-09-04 19:50:08 UTC,SML 201,Yes: AP Statistics,Sophomore,8,Princeton School of Public and International Affairs,Mathey,3.8,Female,42,April,19,70,8,125,2000,5,12 midnight,7,"Facebook,Instagram,LinkedIn",iPhone,Philadelphia Phillies,New York Giants,Los Angeles Lakers,Edmonton Oilers,80,10,0,80,60,80,public school,40,No,Yes,4,80,70,No,70,70,Yes,65,50,60,Blue,7,7,14,14,7,100,40,1,Spirited Away,40,70,4,1510,60,15,Yes,60,Yes,Yes,Yes,99,Pancakes,tea,Cats,ocean,tolerable,70,2,2,Spiderman,Joker,Fall,right-handed,80,5,ENG 345,Jeff Nunokawa,90
