INSTNM,UGDS,STABBR,LATITUDE,LONGITUDE,ADM_RATE,C150_4,RET_FT4,MD_EARN_WNE_P10,ENDOWBEGIN
University of Wisconsin-Madison,35184,WI,43.075409,-89.404098,0.4906,0.8923,0.9433,73792,5662371117
University of Wisconsin-Milwaukee,17076,WI,43.076848,-87.880488,0.8632,0.4787,0.718,54990,230259228
University of Wisconsin-Platteville,5920,WI,42.733451,-90.48622,0.8543,0.6107,0.7798,61760,52338823
University of Wisconsin-River Falls,4327,WI,44.8534,-92.622641,0.8448,0.5908,0.7286,54458,29635472
University of Wisconsin-Stevens Point,6995,WI,44.529582,-89.570934,0.8905,0.5602,0.7534,52021,54147658
University of Wyoming,8363,WY,41.311773,-105.57931,0.9598,0.6088,0.754,56880,768910291
Stanford University,7761,CA,37.429434,-122.167359,0.0368,0.9511,0.9831,124080,37788187000
Purdue University-Main Campus,38438,IN,40.428206,-86.914435,0.527,0.8304,0.9047,72424,3596142678
St. John's College,364,NM,35.666974,-105.912478,0.5408,0.7164,0.7395,44985,111254315
New College of Florida,669,FL,27.384925,-82.55858,0.7541,0.6261,0.75,48082,55284307
California State University-San Marcos,13844,CA,33.130569,-117.159013,0.9519,0.5666,0.7223,62908,35766462
University of Washington-Bothell Campus,5166,WA,47.759773,-122.191293,0.8808,0.6883,0.8525,78466,93699617
University of Washington-Tacoma Campus,4054,WA,47.244594,-122.438541,0.8835,0.5422,0.7521,78466,93699617
Beacon College,469,FL,28.811281,-81.87415,0.5192,0.5758,0.7653,29420,1500368
Soka University of America,445,CA,33.554546,-117.735344,0.5663,0.875,0.9254,55017,1564125000
California State University-Monterey Bay,6129,CA,36.652397,-121.796178,0.9239,0.6145,0.7914,59247,35324966
Messenger College,19,TX,32.85076,-97.161015,0.5,0.1667,0.75,29463,798879
Embry-Riddle Aeronautical University-Worldwide,8278,FL,29.189903,-81.048367,0.5767,0.1737,0.5946,84131,4132000
Florida Gulf Coast University,13788,FL,26.463638,-81.7726,0.7439,0.5853,0.8079,54560,88094149
University of Connecticut-Waterbury Campus,751,CT,41.555617,-73.039242,0.9791,0.5992,0.7584,73997,2476530
University of Connecticut-Avery Point,480,CT,41.316419,-72.065336,0.9742,0.5893,0.7923,73997,6545116
University of Connecticut-Stamford,2246,CT,41.056081,-73.542206,0.9218,0.6356,0.8101,73997,5070990
The King's University,255,TX,32.93973,-97.121526,0.9375,0.52,0.875,41471,4641674
Oregon State University-Cascades Campus,1040,OR,44.042795,-121.333703,0.7902,0.5833,0.7886,64010,9094199
Nevada State College,4581,NV,35.982345,-114.938044,0.8248,0.3246,0.7789,53166,1325000
California State University-Channel Islands,5717,CA,34.162949,-119.04356,0.8965,0.5668,0.7519,62152,10780714
Franklin W Olin College of Engineering,356,MA,42.293527,-71.263378,0.1914,0.9367,0.989,129455,455637000
Pennsylvania College of Health Sciences,1529,PA,40.060419,-76.247035,0.457,0.5833,0.7241,69731,14115871
University of California-Merced,8343,CA,37.366237,-120.424944,0.8946,0.6745,0.8196,64368,28043000
Central Methodist University-College of Graduate and Extended Studies,1493,MO,39.150497,-92.685253,1,0,0.3333,48991,16720876
Johnson & Wales University-Charlotte,1140,NC,35.233502,-80.851208,0.7334,0.5261,0.6367,43418,10107345
Ave Maria University,1230,FL,26.335983,-81.438945,0.4421,0.5038,0.7154,49520,8662372
Harrisburg University of Science and Technology,629,PA,40.26193,-76.880261,0.8431,0.3182,0.7885,52374,1217454
SUM Bible College and Theological Seminary,416,CA,38.620833,-121.054758,0.835,0.4386,0.5606,35418,151200
Visible Music College,208,TN,35.144586,-90.049381,0.2041,0.24,0.8333,35933,332089
The King's College,290,NY,40.706677,-74.012342,0.4527,0.5625,0.7143,58065,483006
Providence Christian College,136,CA,34.149327,-118.141062,0.8712,0.3559,0.7714,46264,25322
University of Minnesota-Rochester,617,MN,44.022339,-92.463471,0.717,0.5862,0.6316,69020,1089738
Texas A&M University-San Antonio,6404,TX,29.304762,-98.52417,0.9609,0.314,0.7158,54338,4907625
Johnson & Wales University-Online,1838,RI,41.819956,-71.41277,0.675,0,0.3333,43418,43789799
John Paul the Great Catholic University,300,CA,33.12085,-117.082401,0.7959,0.7297,0.8381,56930,33503
University of Connecticut-Hartford Campus,1500,CT,41.762673,-72.672175,0.973,0.6219,0.7624,73997,4363410
Criswell College,121,TX,32.793513,-96.77669,1,0.7,0.7273,43185,8612456
Pennsylvania State University-World Campus,7798,PA,40.7965,-77.862848,0.8168,0.3628,0.7456,63435,83412202
Augusta University,5098,GA,33.47037,-81.989071,0.8553,0.5013,0.7279,48472,370933917
Middle Georgia State University,6589,GA,32.808092,-83.732058,0.9971,0.2382,0.6122,40863,15406958
University of North Georgia,15815,GA,34.530219,-83.985694,0.6963,0.3856,0.7224,50135,86577527
Kennesaw State University,38051,GA,34.038807,-84.583052,0.6785,0.4642,0.7455,57552,102001612
Milligan University,726,TN,36.300147,-82.29407,0.6671,0.634,0.7226,46641,60593202
Husson University,2338,ME,44.829002,-68.791476,0.9131,0.599,0.7856,45025,26168158
Carolina University,350,NC,36.087962,-80.250153,0.5202,0.3214,0.4886,32864,2897781
Purdue University Northwest,6083,IN,41.584324,-87.474236,0.7282,0.4435,0.6394,48318,54289997
Commonwealth University of Pennsylvania,9778,PA,41.00782,-76.447844,0.9396,0.5356,0.7397,52416,88339360
Pennsylvania Western University,9203,PA,40.064964,-79.88679,0.9362,0.4813,0.6994,47295,120204414
