INSTNM,UGDS,STABBR,LATITUDE,LONGITUDE,ADM_RATE,C150_4,RET_FT4,MD_EARN_WNE_P10,ENDOWBEGIN
University of Mary,2149,ND,46.723767,-100.75274,0.8139,0.637,0.8039,60909,68726392
Mayville State University,767,ND,47.505415,-97.322554,0.7123,0.3459,0.578,47828,10779914
Minot State University,2168,ND,48.246961,-101.29861,0.9317,0.4487,0.7045,51759,41058466
University of North Dakota,9066,ND,47.921654,-97.071738,0.8328,0.6306,0.7887,63552,345548000
North Dakota State University-Main Campus,9795,ND,46.893127,-96.800838,0.9568,0.6317,0.7522,62203,520314
Trinity Bible College and Graduate School,162,ND,46.001037,-98.517906,0.4444,0.4074,0.85,35604,1166302
Valley City State University,914,ND,46.918517,-98.00389,0.8345,0.4747,0.7066,52725,13276479
University of Akron Main Campus,10099,OH,41.075923,-81.511167,0.8287,0.4772,0.6795,46600,282725526
Art Academy of Cincinnati,259,OH,39.108805,-84.513913,1,0.4909,0.7031,34368,2479217
Ashland University,2332,OH,40.861755,-82.321061,0.7176,0.6023,0.7025,52928,61340051
Aultman College of Nursing and Health Sciences,245,OH,40.796186,-81.404053,0.551,0.8125,0.6667,63582,2372944
Baldwin Wallace University,2708,OH,41.373017,-81.851145,0.7704,0.652,0.8239,54122,194825305
Bluffton University,649,OH,40.895606,-83.899439,0.9629,0.4567,0.6983,49547,25754825
Bowling Green State University-Main Campus,12223,OH,41.375513,-83.640896,0.7866,0.6142,0.7701,47896,224460040
Capital University,1905,OH,39.954875,-82.937867,0.7215,0.6108,0.782,54143,136926898
Case Western Reserve University,5927,OH,41.507419,-81.609596,0.2741,0.8583,0.9289,87989,2354190000
Cedarville University,3851,OH,39.749237,-83.814692,0.6488,0.7503,0.8557,55443,46812293
Central State University,5395,OH,39.715787,-83.880186,0.8883,0.254,0.4141,33267,7465403
The Christ College of Nursing and Health Sciences,860,OH,39.121821,-84.509564,0.7105,0.5342,0.678,68303,10228266
University of Cincinnati-Main Campus,27880,OH,39.131159,-84.51428,0.8622,0.7205,0.8621,54810,1809966899
Cleveland Institute of Art,575,OH,41.510435,-81.602416,0.6984,0.7313,0.7971,42509,33991935
Cleveland Institute of Music,194,OH,41.512444,-81.608878,0.3624,0.8269,0.8889,32641,54139228
Cleveland State University,9502,OH,41.502281,-81.674355,0.8532,0.4894,0.6865,52131,115381865
Columbus College of Art and Design,956,OH,39.966074,-82.989479,0.9098,0.5984,0.776,40664,18550085
University of Dayton,8349,OH,39.739547,-84.176113,0.7405,0.8135,0.8768,75537,804392000
Defiance College,478,OH,41.296842,-84.357075,0.6286,0.4191,0.5786,49351,23106961
Denison University,2406,OH,40.071505,-82.523272,0.2196,0.8457,0.9037,67753,1213364000
The University of Findlay,2257,OH,41.053344,-83.652313,0.8598,0.6544,0.7547,56996,55538246
Heidelberg University,913,OH,41.114833,-83.168387,0.7135,0.5447,0.7519,48466,62676929
Hiram College,737,OH,41.3107,-81.143981,0.9314,0.5266,0.6907,54311,88003594
John Carroll University,2358,OH,41.490259,-81.531224,0.8237,0.7818,0.8567,62860,289408515
Kent State University at Kent,19179,OH,41.146653,-81.342533,0.8802,0.6478,0.7767,45388,195558025
Kenyon College,1877,OH,40.374408,-82.397977,0.343,0.8727,0.8839,71830,545722456
