CouncilDistrict,CrimeAgainst,ReportMonthYear,CrimeCount
4,Society,August 2016,71
4,Society,February 2016,60
4,Society,May 2016,70
3,Society,April 2016,28
3,Society,December 2016,28
NA,Property,August 2016,54
3,Society,March 2016,30
3,Society,June 2016,30
NA,Property,December 2016,88
NA,Society,May 2016,9
NA,Society,August 2016,3
NA,Society,January 2016,5
NA,Society,July 2016,2
NA,Society,September 2016,2
3,Society,October 2016,14
NA,Society,December 2016,2
NA,Society,April 2016,5
NA,Society,February 2016,6
NA,Society,March 2016,4
NA,Society,June 2016,2
NA,Society,October 2016,2
1,Person,January 2017,188
3,Person,January 2017,113
2,Person,January 2017,126
4,Person,January 2017,147
1,Property,January 2017,972
NA,Person,January 2017,10
4,Property,January 2017,765
3,Property,January 2017,865
2,Property,January 2017,987
NA,Society,January 2017,3
2,Society,January 2017,25
1,Society,January 2017,36
NA,Property,January 2017,65
1,Person,February 2017,169
4,Person,February 2017,122
2,Person,February 2017,118
3,Person,February 2017,131
4,Property,February 2017,901
3,Property,February 2017,965
1,Property,February 2017,940
1,Person,March 2017,221
2,Property,February 2017,887
NA,Person,February 2017,10
NA,Property,February 2017,74
2,Society,February 2017,36
3,Society,February 2017,27
1,Property,March 2017,1124
4,Person,March 2017,169
2,Person,March 2017,149
2,Property,March 2017,968
3,Property,March 2017,1155
3,Person,March 2017,111
NA,Person,March 2017,15
4,Property,March 2017,918
1,Society,March 2017,77
NA,Property,March 2017,67
4,Society,March 2017,86
4,Society,February 2017,87
1,Person,April 2017,211
4,Property,April 2017,954
2,Person,April 2017,155
2,Society,April 2017,25
2,Property,April 2017,934
4,Person,April 2017,153
3,Person,April 2017,121
3,Property,April 2017,1048
1,Property,April 2017,1021
3,Society,April 2017,27
NA,Person,April 2017,14
1,Society,April 2017,77
NA,Property,April 2017,68
2,Person,May 2017,198
1,Person,May 2017,213
3,Person,May 2017,147
2,Property,May 2017,939
4,Person,May 2017,189
1,Property,May 2017,1048
3,Property,May 2017,1193
4,Property,May 2017,1123
NA,Person,May 2017,16
3,Society,May 2017,30
4,Society,May 2017,70
1,Society,May 2017,53
NA,Property,May 2017,76
2,Society,May 2017,45
2,Person,June 2017,151
3,Person,June 2017,142
4,Person,June 2017,200
1,Person,June 2017,234
3,Property,June 2017,1065
2,Property,June 2017,867
1,Property,June 2017,998
4,Property,June 2017,1002
1,Society,June 2017,60
NA,Person,June 2017,13
2,Society,June 2017,49
NA,Property,June 2017,99
1,Person,July 2017,217
2,Person,July 2017,152
3,Person,July 2017,148
4,Person,July 2017,152
1,Property,July 2017,1060
NA,Person,July 2017,16
4,Property,July 2017,948
4,Society,June 2017,81
NA,Property,July 2017,86
3,Property,July 2017,1158
2,Society,July 2017,36
2,Property,July 2017,907
4,Society,July 2017,63
NA,Society,July 2017,5
1,Society,July 2017,77
3,Society,July 2017,29
1,Person,August 2017,212
3,Person,August 2017,160
1,Property,August 2017,998
4,Person,August 2017,209
NA,Person,August 2017,22
2,Person,August 2017,167
4,Property,August 2017,1111
2,Society,August 2017,49
1,Society,August 2017,91
2,Property,August 2017,946
3,Property,August 2017,1129
NA,Property,August 2017,101
3,Society,August 2017,27
1,Person,September 2017,199
2,Person,September 2017,169
4,Person,September 2017,185
NA,Person,September 2017,15
3,Person,September 2017,143
1,Property,September 2017,1001
2,Property,September 2017,887
3,Property,September 2017,1065
4,Property,September 2017,976
NA,Property,September 2017,107
1,Society,September 2017,57
2,Society,September 2017,29
2,Person,October 2017,167
3,Person,October 2017,178
1,Property,October 2017,1052
4,Person,October 2017,197
1,Person,October 2017,211
2,Property,October 2017,1005
3,Property,October 2017,1000
1,Society,October 2017,70
NA,Person,October 2017,17
4,Property,October 2017,1058
3,Society,October 2017,30
NA,Property,October 2017,126
3,Person,November 2017,117
2,Person,November 2017,158
3,Property,November 2017,1030
1,Person,November 2017,179
4,Person,November 2017,187
4,Society,November 2017,53
4,Property,November 2017,938
2,Property,November 2017,851
1,Property,November 2017,1025
2,Society,November 2017,37
NA,Person,November 2017,15
3,Society,November 2017,22
1,Society,November 2017,71
2,Person,December 2017,131
4,Person,December 2017,152
3,Person,December 2017,146
1,Person,December 2017,204
3,Property,December 2017,1018
2,Property,December 2017,1051
1,Property,December 2017,1142
4,Property,December 2017,997
NA,Property,November 2017,82
NA,Person,December 2017,14
4,Society,December 2017,73
NA,Property,December 2017,79
3,Society,December 2017,23
NA,Society,December 2017,3
2,Society,March 2017,21
4,Society,August 2017,64
4,Society,September 2017,81
4,Society,October 2017,99
4,Society,April 2017,79
3,Society,January 2017,20
2,Society,December 2017,32
NA,Society,June 2017,5
1,Society,February 2017,65
2,Society,October 2017,23
4,Society,January 2017,50
3,Society,June 2017,30
3,Society,September 2017,32
3,Society,March 2017,31
NA,Society,August 2017,5
1,Society,December 2017,57
NA,Society,April 2017,7
NA,Society,September 2017,4
NA,Society,March 2017,5
NA,Society,May 2017,4
NA,Society,February 2017,1
NA,Society,October 2017,2
2,Person,January 2018,187
4,Person,January 2018,188
4,Property,January 2018,1091
1,Property,January 2018,1288
1,Person,January 2018,194
2,Property,January 2018,1025
3,Person,January 2018,132
1,Society,January 2018,77
3,Property,January 2018,1090
NA,Person,January 2018,12
NA,Property,January 2018,62
2,Society,January 2018,55
4,Society,January 2018,87
2,Person,February 2018,139
1,Person,February 2018,170
1,Property,February 2018,938
3,Person,February 2018,139
3,Society,February 2018,26
4,Person,February 2018,162
4,Society,February 2018,80
NA,Property,February 2018,66
3,Property,February 2018,948
2,Property,February 2018,829
1,Society,February 2018,54
NA,Person,February 2018,10
4,Property,February 2018,965
2,Society,February 2018,32
1,Person,March 2018,200
NA,Person,March 2018,20
1,Property,March 2018,1092
2,Person,March 2018,154
2,Property,March 2018,847
3,Person,March 2018,133
4,Person,March 2018,190
3,Property,March 2018,1012
4,Property,March 2018,1031
1,Society,March 2018,101
4,Society,March 2018,65
3,Society,March 2018,35
2,Society,March 2018,48
NA,Property,March 2018,59
1,Person,April 2018,199
1,Society,April 2018,78
3,Person,April 2018,142
4,Person,April 2018,157
2,Person,April 2018,158
3,Property,April 2018,990
NA,Person,April 2018,16
2,Property,April 2018,919
4,Property,April 2018,1067
1,Property,April 2018,1118
4,Society,April 2018,60
3,Society,April 2018,42
2,Society,April 2018,41
NA,Property,April 2018,104
1,Property,May 2018,1134
2,Person,May 2018,161
1,Person,May 2018,272
4,Person,May 2018,194
3,Person,May 2018,138
4,Property,May 2018,947
4,Society,May 2018,80
NA,Person,May 2018,22
NA,Property,May 2018,70
2,Property,May 2018,879
3,Property,May 2018,1000
2,Society,May 2018,47
1,Society,May 2018,68
3,Person,June 2018,141
4,Person,June 2018,201
2,Person,June 2018,180
1,Person,June 2018,226
4,Society,June 2018,78
3,Property,June 2018,1022
1,Property,June 2018,1104
NA,Person,June 2018,19
2,Property,June 2018,1006
NA,Property,June 2018,61
3,Society,June 2018,45
4,Property,June 2018,896
NA,Society,June 2018,5
1,Society,June 2018,59
2,Society,June 2018,66
1,Person,July 2018,244
4,Person,July 2018,211
1,Society,July 2018,68
3,Person,July 2018,157
1,Property,July 2018,1083
2,Person,July 2018,183
4,Society,July 2018,66
4,Property,July 2018,920
2,Property,July 2018,1040
NA,Person,July 2018,15
3,Property,July 2018,1006
3,Society,July 2018,33
NA,Property,July 2018,75
3,Person,August 2018,157
3,Property,August 2018,999
1,Person,August 2018,246
2,Person,August 2018,182
4,Person,August 2018,195
1,Property,August 2018,1021
2,Property,August 2018,1117
NA,Person,August 2018,19
2,Society,August 2018,42
1,Society,August 2018,76
4,Property,August 2018,948
NA,Society,August 2018,5
4,Society,August 2018,59
3,Society,August 2018,46
2,Person,September 2018,200
1,Person,September 2018,218
3,Person,September 2018,171
2,Society,September 2018,35
4,Person,September 2018,208
4,Society,September 2018,101
NA,Property,August 2018,52
1,Property,September 2018,982
2,Property,September 2018,1034
NA,Person,September 2018,19
3,Property,September 2018,987
4,Property,September 2018,899
NA,Property,September 2018,40
NA,Society,September 2018,6
4,Person,October 2018,215
1,Person,October 2018,219
3,Person,October 2018,136
NA,Person,October 2018,13
2,Person,October 2018,175
3,Society,October 2018,29
1,Property,October 2018,1114
2,Society,October 2018,38
4,Property,October 2018,988
2,Property,October 2018,1038
3,Property,October 2018,986
1,Society,October 2018,59
NA,Property,October 2018,78
1,Person,November 2018,204
1,Property,November 2018,1020
NA,Person,November 2018,16
NA,Society,November 2018,3
3,Person,November 2018,146
2,Person,November 2018,168
4,Person,November 2018,163
4,Property,November 2018,998
2,Property,November 2018,992
3,Society,November 2018,27
3,Property,November 2018,975
1,Society,November 2018,72
2,Society,November 2018,24
4,Society,November 2018,37
1,Person,December 2018,166
2,Person,December 2018,170
3,Person,December 2018,142
3,Property,December 2018,900
1,Property,December 2018,1025
2,Property,December 2018,997
4,Person,December 2018,181
3,Society,December 2018,39
4,Property,December 2018,880
NA,Person,December 2018,7
NA,Property,December 2018,58
1,Society,December 2018,63
4,Society,December 2018,93
NA,Society,October 2018,3
4,Society,October 2018,49
2,Society,July 2018,39
3,Society,September 2018,36
NA,Property,November 2018,53
3,Society,January 2018,25
NA,Society,December 2018,4
2,Society,December 2018,30
3,Society,May 2018,35
1,Society,September 2018,63
NA,Society,February 2018,4
NA,Society,May 2018,4
NA,Society,January 2018,2
NA,Society,July 2018,7
NA,Society,April 2018,4
1,Person,January 2019,203
3,Person,January 2019,156
2,Person,January 2019,159
4,Person,January 2019,166
3,Property,January 2019,924
2,Property,January 2019,1072
1,Society,January 2019,80
1,Property,January 2019,1009
2,Society,January 2019,37
4,Property,January 2019,937
NA,Person,January 2019,11
3,Society,January 2019,35
NA,Property,January 2019,53
2,Person,February 2019,143
1,Person,February 2019,171
3,Property,February 2019,896
3,Person,February 2019,122
4,Person,February 2019,152
2,Property,February 2019,891
1,Property,February 2019,843
4,Property,February 2019,819
1,Society,February 2019,73
NA,Person,February 2019,18
NA,Property,February 2019,51
NA,Society,February 2019,2
3,Society,February 2019,27
2,Society,February 2019,26
3,Person,March 2019,142
2,Person,March 2019,162
1,Person,March 2019,214
4,Person,March 2019,175
4,Property,March 2019,937
2,Society,March 2019,35
2,Property,March 2019,934
1,Property,March 2019,1023
3,Society,March 2019,35
NA,Person,March 2019,18
1,Society,March 2019,95
3,Property,March 2019,905
NA,Society,March 2019,5
NA,Property,March 2019,61
4,Person,April 2019,163
3,Person,April 2019,142
3,Property,April 2019,936
4,Property,April 2019,812
1,Person,April 2019,219
2,Person,April 2019,148
2,Property,April 2019,998
1,Society,April 2019,78
NA,Person,April 2019,20
1,Property,April 2019,992
2,Society,April 2019,37
4,Society,April 2019,81
3,Society,April 2019,31
3,Person,May 2019,164
4,Person,May 2019,236
3,Property,May 2019,987
NA,Society,April 2019,6
1,Person,May 2019,237
1,Property,May 2019,1007
2,Society,May 2019,27
2,Person,May 2019,178
4,Property,May 2019,909
NA,Person,May 2019,16
2,Property,May 2019,1022
1,Society,May 2019,64
3,Society,May 2019,48
NA,Property,May 2019,67
4,Society,May 2019,70
2,Person,June 2019,213
1,Person,June 2019,274
3,Person,June 2019,152
4,Person,June 2019,222
1,Property,June 2019,974
3,Property,June 2019,904
2,Society,June 2019,44
1,Society,June 2019,73
4,Property,June 2019,907
2,Property,June 2019,935
