time_stamp,humidity,temperature,pressure,scattering_coefficient,pm1.0_atm,pm2.5_atm,pm10.0_atm
2024-03-12T00:00:00Z,24.258,61.507,1005.142,7.8,2.2005,3.2545,3.685
2024-03-13T00:00:00Z,32.746,66.669,1006.202,22.4,7.951499999999999,11.025,12.118
2024-03-14T00:00:00Z,34.582,69.292,1009.385,35.5,13.408999999999999,18.2695,19.599
2024-03-15T00:00:00Z,37.339,72.478,1002.65,25.8,9.341999999999999,12.5455,13.322
2024-03-16T00:00:00Z,36.835,62.736,1003.916,9,2.6745,3.5549999999999997,3.806
2024-03-17T00:00:00Z,35.638,64.506,997.379,16.1,5.464,7.3535,7.9135
2024-03-18T00:00:00Z,27.589,57.07,1000.432,4.8,0.9585,1.3519999999999999,1.5345
2024-03-19T00:00:00Z,29.374,49.824,1002.434,5.3,1.1920000000000002,1.678,1.866
2024-03-20T00:00:00Z,33.382,57.575,998.875,23.6,8.5525,11.925,13.4175
2024-03-21T00:00:00Z,23.825,45.921,1011.677,2.2,0.123,0.28150000000000003,0.4375
2024-03-22T00:00:00Z,24.922,48.096,1021.343,9.2,2.834,4.1105,4.699
2024-03-23T00:00:00Z,55.824,53.365,1007.644,14.2,4.335,6.276,7.1545000000000005
2024-03-24T00:00:00Z,33.531,47.788,1014.943,8.1,2.557,4.077500000000001,4.5985
2024-03-25T00:00:00Z,30.011,52.936,1023.641,8.3,2.4185,3.685,4.355
2024-03-26T00:00:00Z,34.951,56.974,1017.665,8.6,2.545,4.106,5.0265
2024-03-27T00:00:00Z,49.41,58.158,1013.682,15.7,5.519500000000001,8.509,9.6495
2024-03-28T00:00:00Z,58.158,59.293,1009.56,21.4,7.875,12.754,13.547
2024-03-29T00:00:00Z,35.122,55.633,1003.225,16.1,5.7395,8.5785,9.262
2024-03-30T00:00:00Z,33.584,56.06,1004.181,8.5,2.474,3.4764999999999997,3.8034999999999997
2024-03-31T00:00:00Z,48.029,62.081,1005.077,18.6,6.5845,9.332,9.9375
2024-04-01T00:00:00Z,54.038,60.556,1008.538,25.1,9.1755,12.451,13.275
2024-04-02T00:00:00Z,64.276,57.671,1007.5,27.3,10.2485,15.3865,16.7855
2024-04-03T00:00:00Z,71.938,51.787,999.442,3.5,0.5015000000000001,1.135,1.854
2024-04-04T00:00:00Z,60.123,53.782,989.487,2.5,0.449,0.6605,0.8405
2024-04-05T00:00:00Z,51.669,54.343,997.354,5.5,1.554,2.3255,2.516
2024-04-06T00:00:00Z,43.433,54.439,1003.607,2.1,0.071,0.222,0.352
2024-04-07T00:00:00Z,33.58,60.399,1010.516,3.3,0.3585,0.621,0.745
2024-04-08T00:00:00Z,37.779,61.974,1015.053,7.7,2.1585,3.1855,3.712
2024-04-09T00:00:00Z,33.19,72.807,1011.385,11,3.3655,4.639,5.211
2024-04-10T00:00:00Z,42.568,70.939,1010.114,26.6,9.807500000000001,12.876000000000001,13.809000000000001
2024-04-11T00:00:00Z,58.897,67.48,1008.016,26.2,9.533999999999999,14.9785,17.558999999999997
2024-04-12T00:00:00Z,62.414,71.537,992.202,10.2,3.0620000000000003,5.1795,7.546
2024-04-13T00:00:00Z,43.881,62.733,997.748,2.7,0.3605,0.5315,0.625
2024-04-14T00:00:00Z,34.865,67.546,1005.468,5.8,1.3065,1.887,2.2030000000000003
2024-04-15T00:00:00Z,44.008,77.31,1002.829,11.1,3.3280000000000003,4.327,4.8995
2024-04-16T00:00:00Z,26.755,73.628,1012.488,9.3,2.67,3.4105,3.7305
2024-04-17T00:00:00Z,40.941,66.977,1014.172,12.1,3.8150000000000004,5.0504999999999995,5.8765
2024-04-18T00:00:00Z,56.561,60.456,1011.247,11.5,3.7205,4.8495,5.5065
2024-04-19T00:00:00Z,45.882,62.789,1014.491,10,3.06,4.5665,5.3870000000000005
2024-04-20T00:00:00Z,45.671,68.669,1008.711,14.5,4.923,7.8774999999999995,9.163
2024-04-21T00:00:00Z,28.814,59.654,1010.471,6.6,1.6644999999999999,2.1695,2.374
2024-04-22T00:00:00Z,28.836,60.807,1011.34,9.3,2.754,3.6799999999999997,4.0515
2024-04-23T00:00:00Z,33.499,64.714,1013.603,10.6,3.3120000000000003,4.711,5.269
2024-04-24T00:00:00Z,32.686,68.752,1006.373,8,2.175,3.1325000000000003,3.7385
2024-04-25T00:00:00Z,29.752,63.657,1017.846,6.4,1.6179999999999999,2.4205,2.8085
2024-04-26T00:00:00Z,34.742,61.636,1024.069,9.2,2.746,4.304,5.2035
2024-04-27T00:00:00Z,34.224,62.698,1026.179,6.8,1.745,2.703,3.298
2024-04-28T00:00:00Z,42.853,72.361,1016.896,16.1,5.495,7.6505,8.806000000000001
2024-04-29T00:00:00Z,48.643,83.281,1009.921,42.2,16.2685,21.139499999999998,22.1995
2024-04-30T00:00:00Z,51.223,75.615,1007.075,54.8,20.298000000000002,30.874499999999998,35.4475
2024-05-01T00:00:00Z,47.735,76.015,1006.709,24.2,8.8,13.9385,16.1275
2024-05-02T00:00:00Z,44.443,78.497,1008.391,24.5,8.7075,13.8965,15.575
2024-05-03T00:00:00Z,39.777,73.368,1013.697,8.6,2.451,3.3975,3.8615000000000004
2024-05-04T00:00:00Z,50.143,64.305,1019.291,8.8,2.528,3.49,4.059
