date,Midwest,National,Northeast,South,West,date_period
2022-07-30,10.173756565623222,8.85734359842001,5.125393164811783,8.682046832124158,9.365725799186498,All Results
2022-08-06,9.878898380970458,7.887293405325371,5.278755332183917,8.384014912331704,6.994373164371485,All Results
2022-08-13,9.153607786873287,7.230859433758791,6.245069187019014,7.07894223114326,6.202618991746633,All Results
2022-08-20,8.432088112170915,6.7391483986030805,5.8834208234251255,6.402123926609308,5.603003022242773,All Results
2022-08-27,7.906733679499281,6.521609438998949,6.0257327577063675,6.4531173147491465,5.335351928032307,All Results
2022-09-03,6.525431206873185,5.76058002726144,5.4261708956783075,6.0035923743869954,4.782551670664635,All Results
2022-09-10,6.322071720518519,5.535994843740341,6.042742334017712,5.846062654167547,4.455066756962248,All Results
2022-09-17,5.735316016225195,5.129909388680659,6.6480713756678105,4.647879224192706,4.354514510463068,All Results
2022-09-24,4.274949412335341,4.520225806515764,4.738402720899522,4.4757235474420725,4.773406748261051,All Results
2022-10-01,3.6427731996149273,3.68342975455957,6.408322126385128,2.3036873198241588,3.8527612338274233,All Results
2022-10-08,4.05265539662889,3.426472671204982,5.053275952713823,2.0301634535251996,3.6557517045807897,All Results
2022-10-15,3.727284197743006,3.3610702581310496,6.0567110552345635,2.04591717330419,3.2310893314164835,All Results
2022-10-22,4.420084737158697,3.426932139875615,4.221633156269317,2.1921267929896775,3.363499712755647,All Results
2022-10-29,5.076616647349763,4.038583781996739,4.861916069042833,2.7350031459492,3.6033299470118902,All Results
2022-11-05,5.34646728798022,4.078095977385623,4.124014190983107,2.583491823166405,4.466796564393704,All Results
2022-11-12,5.107143588701027,4.16566152815288,3.217263071062295,2.338726371683932,5.27952797809713,All Results
2022-11-19,5.316113118301276,4.629077637794731,3.980330013682361,2.6866626893816674,7.350682232495315,All Results
2022-11-26,6.851350228734539,5.3867478479223605,3.966498844075337,3.200479107965515,8.162742401484211,All Results
2022-12-03,9.4247338421112,8.60159408859921,6.650432755177235,6.98428128219101,11.042465343763563,All Results
2022-12-10,9.5475513355097,8.515339935288916,8.407031477803127,6.408948794133196,10.182915866168273,All Results
2022-12-17,10.92857836913914,9.039344145933429,8.52114638292941,7.565308154135934,9.138374538891624,All Results
2022-12-24,9.97770162459274,9.472304642205668,8.496145106537032,9.927436533988631,8.80800445417548,All Results
2022-12-31,11.111670057155402,10.840910193265492,10.268277731748736,13.198516143168328,9.128064657657506,All Results
2023-01-07,7.28517219009526,8.305608787311561,7.660540660757979,10.882172003063346,8.015654018418019,All Results
2023-01-14,5.369412981775469,6.036879791853108,5.7563168879516695,7.472107270649534,5.640333826598564,All Results
2023-01-21,5.118597998666662,5.701226148947399,6.517932818492939,6.753790475555934,4.890432594076404,All Results
